--------------------------------------------
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:41 | Accion= Escribiendo | Mensaje= 11
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:33:46 | Accion= Leyendo | Mensaje=  -Linea: 5 -PID: 7 -Hora y fecha: 2023-05-22 16:33:25
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:33:46 | Accion= Leyendo | Mensaje=  -Linea: 5 -PID: 7 -Hora y fecha: 2023-05-22 16:33:25
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:49 | Accion= Escribiendo | Mensaje= 15
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:33:54 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 17
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:33:57 | Accion= Escribiendo | Mensaje= 17
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:02 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 17
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:05 | Accion= Escribiendo | Mensaje= 17
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:10 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 16
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:13 | Accion= Escribiendo | Mensaje= 16
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:16 | Accion= Escribiendo | Mensaje= 18
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:16 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:16 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:21 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 18
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:24 | Accion= Escribiendo | Mensaje= 18
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:29 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 15
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:34 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 13
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:39 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 18
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:42 | Accion= Escribiendo | Mensaje= 13
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:47 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 16
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:50 | Accion= Escribiendo | Mensaje= 15
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:34:55 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 4 -Linea: 11
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:34:58 | Accion= Escribiendo | Mensaje= 11
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:03 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 17
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:06 | Accion= Escribiendo | Mensaje= 16
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:35:11 | Accion= Leyendo | Mensaje=  -Linea: 6 -PID: 4 -Hora y fecha: 2023-05-22 16:31:55
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:35:11 | Accion= Leyendo | Mensaje=  -Linea: 6 -PID: 4 -Hora y fecha: 2023-05-22 16:31:55
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:14 | Accion= Escribiendo | Mensaje= 17
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:19 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 12
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:22 | Accion= Escribiendo | Mensaje= 12
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:27 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 15
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:30 | Accion= Escribiendo | Mensaje= 15
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:35 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 13
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:38 | Accion= Escribiendo | Mensaje= 13
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:41 | Accion= Escribiendo | Mensaje= 18
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:41 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:35:41 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:46 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 6
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:51 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 8
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:35:56 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 18
